time	motion	power_consumption	acoustic_pressure_dB	door_opening	label
2015-05-07 02:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 02:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 03:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 03:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 04:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 04:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 05:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 05:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 06:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 06:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 07:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 07:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 08:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 08:30:00	2.000000	0.000000	0.001000	0.180026	0.000000
2015-05-07 09:00:00	8.000000	1.000000	0.027849	0.877603	2.000000
2015-05-07 09:30:00	6.000000	1.000000	0.043911	1.000000	2.000000
2015-05-07 10:00:00	6.000000	1.000000	0.046251	1.000000	2.000000
2015-05-07 10:30:00	1.000000	2.000000	0.057003	1.000000	3.000000
2015-05-07 11:00:00	11.000000	2.000000	0.019189	1.000000	1.000000
2015-05-07 11:30:00	5.000000	2.000000	0.011700	1.000000	1.000000
2015-05-07 12:00:00	10.000000	2.000000	0.015886	1.000000	1.000000
2015-05-07 12:30:00	0.000000	1.000000	0.010418	0.021988	1.000000
2015-05-07 13:00:00	8.000000	1.000000	0.042744	0.122127	1.000000
2015-05-07 13:30:00	3.000000	3.000000	0.043004	0.015822	3.000000
2015-05-07 14:00:00	5.000000	3.000000	0.032898	0.009672	3.000000
2015-05-07 14:30:00	4.000000	1.000000	0.020495	0.235878	1.000000
2015-05-07 15:00:00	1.000000	1.000000	0.022177	0.007629	1.000000
2015-05-07 15:30:00	3.000000	2.000000	0.029990	0.269089	2.000000
2015-05-07 16:00:00	6.000000	2.000000	0.035395	0.184369	3.000000
2015-05-07 16:30:00	10.000000	2.000000	0.027589	0.315181	2.000000
2015-05-07 17:00:00	4.000000	2.000000	0.064247	0.209834	3.000000
2015-05-07 17:30:00	9.000000	1.000000	0.026514	0.002044	2.000000
2015-05-07 18:00:00	4.000000	1.000000	0.052061	0.251120	2.000000
2015-05-07 18:30:00	2.000000	0.000000	0.003171	0.002336	1.000000
2015-05-07 19:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 19:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 20:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 20:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 21:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 21:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 22:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 22:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 23:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 23:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 00:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 00:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 01:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 01:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 02:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 02:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 03:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 03:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 04:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 04:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 05:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 05:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 06:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 06:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 07:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 07:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-08 08:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
